Applications,Cef,NBR Version,Kit CEF,Remarks,Company,Tipologia Applicazione
DF250Z (2021→Today),500393,,,"Serials: 20001F-, 20002F-, 25001F-, 25003F-. Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaced by #17400-93J06-000",SUZUKI,Outboard
,,,,,,
DF300 (2007→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98J03-000,SUZUKI,Outboard
DF250AP (2013→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98J03-000,SUZUKI,Outboard
DF300AP (2013→Today),500393,,,Water Pump Repair Kit (OEM Impeller #17461-93J00 → #17461-93J01-000). Replaces #17400-98J03-000,SUZUKI,Outboard
,,,,,,
"DF40A (2021, 2022, 2024)",500365,,,Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
"DF40AQH (2021, 2022, 2024)",500365,,,Serial Range: 04003F-140001～. Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
"DF40AST (2021, 2022, 2024)",500365,,,Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
"DF40ASVT (2021, 2022, 2024)",500365,,,Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
"DF40AT (2021, 2022, 2024)",500365,,,Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
"DF40ATH (2021, 2022, 2024)",500365,,,Water Pump Repair Kit (KIT GIRANTE DF40ARI). OEM Impeller #17461-87E12,SUZUKI,Outboard
,,,,,,
DT55/DT65 (1988→1999),,,,Water Pump Repair Kit (2 strokes),SUZUKI,Outboard
,,,,,,
DF90 (2009→2011),500367,,,Non DF90A. Replaces #17400-92J21. OEM impeller #17461-90J01,SUZUKI,Outboard
DF100 (2009→Today),500367,,,Replaces #17400-92J21. OEM impeller #17461-90J01,SUZUKI,Outboard
DF115 (2009→Today),500367,,,Replaces #17400-92J21. OEM impeller #17461-90J01,SUZUKI,Outboard
DF140 (2009→Today),500367,,,Replaces #17400-92J21. OEM impeller #17461-90J01,SUZUKI,Outboard
,,,,,,
DF70A (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
"DF70AT (2013→2024, S/N: 07003F-310001～)",500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF70ATH (2021→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF75A (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF80A (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF80AT (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF90A (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF90AT (2013→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF90ATH (2021→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF100B (2018→2020),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
DF100BT (2021→2024),500365,,,Water Pump Repair Kit (OEM Impeller #17461-87E12). Replaced from #17400-87L01-000,SUZUKI,Outboard
,,,,,,
"DF25A (2015, 2016, 2017, 2019, 2020, 2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
DF25AR (2021),Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF25AT (2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF25ATH (2021, 2022)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF30A (2015, 2016, 2017, 2018, 2019, 2020)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF30AQ (2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF30AR (2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF30AT (2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
"DF30ATH (2021, 2022, 2024)",Mancante,,,Water Pump Repair Kit (Impeller #17461-94L00). Replaced #17400-94L01-000,SUZUKI,Outboard
,,,,,,
