Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
TR  (4794900 - D494568),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),with oil resevoir-(6225577 >on) (1983 & newer),Inboard_Engines
TRS  (4795400 - D794568),500516K,,,Stern drive/Gruppo poppiero (u-joint/giunto),with oil resevoir-(6225577 >on) (1983 & newer),Inboard_Engines
protector valves /valvola scarico di protezione,593205K,,,For/Per 3 inch (76mm),with oil resevoir-(6225577 >on) (1983 & newer),Inboard_Engines
protector valves /valvola scarico di protezione,593206K,,,For/Per 4 inch (101mm),with oil resevoir-(6225577 >on) (1983 & newer),Inboard_Engines
