Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
1523,4.3GSJLKD,500107GT,,,,VOLVO PENTA,Inboard_Engines
1523,4.3GSJWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1524,4.3GSJNCC,500107GT,,,,VOLVO PENTA,Inboard_Engines
1524,4.3GSJNCS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1525,4.3GSPBYC,500107GT,,,,VOLVO PENTA,Inboard_Engines
1526,4.3GSPHUB,500107GT,,,,VOLVO PENTA,Inboard_Engines
1526,4.3GSPHUS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1527,4.3GSPLKD,500107GT,,,,VOLVO PENTA,Inboard_Engines
1527,4.3GSPLKE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1528,4.3GSPMDA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1529,4.3GSPNCA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1529,4.3GSPNCB,500107GT,,,,VOLVO PENTA,Inboard_Engines
1530,4.3GSPNCM,500107GT,,,,VOLVO PENTA,Inboard_Engines
1530,4.3GSPNCS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1531,4.3GSPWTC,500107GT,,,,VOLVO PENTA,Inboard_Engines
1531,4.3GSPWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-D,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-E,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-BF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-CF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-DF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1532,4.3GXi-EF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1533,4.3GXi-F,500178G,,,,VOLVO PENTA,Inboard_Engines
1533,4.3GXi-FF,500178G,,,,VOLVO PENTA,Inboard_Engines
1534,4.3GXi-G,500178G,,,,VOLVO PENTA,Inboard_Engines
1534,4.3GXi-GF,500178G,,,,VOLVO PENTA,Inboard_Engines
1535,4.3GXi-J,500178G,,,,VOLVO PENTA,Inboard_Engines
1535,4.3GXi-JF,500178G,,,,VOLVO PENTA,Inboard_Engines
1536,4.3GXiE-M,500178G,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-D,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-E,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-BF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-CF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-DF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1537,4.3OSi-EF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1538,4.3OSi-G,500178G,,,,VOLVO PENTA,Inboard_Engines
1538,4.3OSi-GF,500178G,,,,VOLVO PENTA,Inboard_Engines
1539,4.3OSi-F,500178G,,,,VOLVO PENTA,Inboard_Engines
1539,4.3OSi-FF,500178G,,,,VOLVO PENTA,Inboard_Engines
1540,4.3OSi-J,500178G,,,,VOLVO PENTA,Inboard_Engines
1540,4.3OSi-JF,500178G,,,,VOLVO PENTA,Inboard_Engines
1541,5.0FIPHUBCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1541,5.0FIPHUCCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1541,5.0FIPHUECE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1542,5.0FIPHURCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1542,5.0FIPHUSCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1543,5.0FiPMDA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1543,5.0FiPMDM,500107GT,,,,VOLVO PENTA,Inboard_Engines
1544,5.0FIPNCACE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1544,5.0FIPNCBCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1544,5.0FIPNCMCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1545,5.0FIPNCSCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1546,5.0FL,500107GT,,,,VOLVO PENTA,Inboard_Engines
1546,5.0Fi,500107GT,,,,VOLVO PENTA,Inboard_Engines
1546,5.0Gi,500107GT,,,,VOLVO PENTA,Inboard_Engines
1547,5.0FLPHUB,500107GT,,,,VOLVO PENTA,Inboard_Engines
1547,5.0FLPHUC,500107GT,,,,VOLVO PENTA,Inboard_Engines
1548,5.0FLPHUE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1548,5.0FLPHUR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1548,5.0FLPHUS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1549,5.0FLPMDA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1550,5.0FLPNCA,500107GT,,,,VOLVO PENTA,Inboard_Engines
1550,5.0FLPNCB,500107GT,,,,VOLVO PENTA,Inboard_Engines
1551,5.0FLPNCM,500107GT,,,,VOLVO PENTA,Inboard_Engines
1551,5.0FLPNCS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1552,5.0GIPBYCCE,500107GT,,,,VOLVO PENTA,Inboard_Engines
1553,5.0GIPEFS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1554,5.0GIPWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1555,5.0GL-A,500107GT,,,,VOLVO PENTA,Inboard_Engines
1555,5.0GL-B,500107GT,,,,VOLVO PENTA,Inboard_Engines
1555,5.0GL-C,500107GT,,,,VOLVO PENTA,Inboard_Engines
1555,5.0GL-D,500107GT,,,,VOLVO PENTA,Inboard_Engines
1555,5.0GL-E,500107GT,,,,VOLVO PENTA,Inboard_Engines
1556,5.0GL-F,500178G,,,,VOLVO PENTA,Inboard_Engines
1556,5.0GL-FF,500178G,,,,VOLVO PENTA,Inboard_Engines
1557,5.0GL-H,500178G,,,,VOLVO PENTA,Inboard_Engines
1557,5.0GL-HP,500178G,,,,VOLVO PENTA,Inboard_Engines
1558,5.0GL-J,500178G,,,,VOLVO PENTA,Inboard_Engines
1558,5.0GL-JF,500178G,,,,VOLVO PENTA,Inboard_Engines
1559,5.0GLPBYC,500107GT,,,,VOLVO PENTA,Inboard_Engines
1560,5.0GLPEFS,500107GT,,,,VOLVO PENTA,Inboard_Engines
1561,5.0GLPWTR,500107GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-A,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-B,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-C,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-BF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-CF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-D,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-DF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-E,500189GT,,,,VOLVO PENTA,Inboard_Engines
1562,5.0GXi-EF,500189GT,,,,VOLVO PENTA,Inboard_Engines
1563,5.0GXi-F,500178G,,,,VOLVO PENTA,Inboard_Engines
1563,5.0GXi-FF,500178G,,,,VOLVO PENTA,Inboard_Engines
1564,5.0GXi-G,500178G,,,,VOLVO PENTA,Inboard_Engines
1564,5.0GXi-GF,500178G,,,,VOLVO PENTA,Inboard_Engines
1565,5.0GXi-J,500178G,,,,VOLVO PENTA,Inboard_Engines
1565,5.0GXi-JF,500178G,,,,VOLVO PENTA,Inboard_Engines
