Id,Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione
85,12.5 BTDB (60Hz)9.4 BTDB (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
86,12.5 WMD (60Hz)9.4 WMD (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
87,15.0 BTDC (60Hz)12.0 BTDC (50Hz),500101GX,,,,WESTERBEKE,Generator_Impellers
2155,pump/pompa 11353,500103GT,,,,WESTERBEKE,Inboard_Engines
2156,pump/pompa 16423,500103GT,,,,WESTERBEKE,Inboard_Engines
2157,pump/pompa 16432,500120GT,,,,WESTERBEKE,Inboard_Engines
2158,pump/pompa 24102,500166G,,,,WESTERBEKE,Inboard_Engines
2159,pump/pompa 24143,500166G,,,,WESTERBEKE,Inboard_Engines
2160,pump/pompa 32617,500121GX,,,,WESTERBEKE,Inboard_Engines
2161,pump/pompa 38445,500103GT,,,,WESTERBEKE,Inboard_Engines
