Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Appplicazione,Date Added
E60 (1995-2000),500316,,,,YAMAHA,Outboard_Engines
E75 (1995-2000),500323,,,,YAMAHA,Outboard_Engines
F2.5 HP (2003-2005),500322,,,,YAMAHA,Outboard_Engines
F4 (2000-2005),500325,,,,YAMAHA,Outboard_Engines
F6/F8 (2001-2005),500368,,,,YAMAHA,Outboard_Engines
F9.9 (1985-1998),500320,,,,YAMAHA,Outboard_Engines
F15 (1998-2005),500363,,,,YAMAHA,Outboard_Engines
F25 (1998-2005),500385G,,,,YAMAHA,Outboard_Engines
F30 (2001-2002),500385G,,,,YAMAHA,Outboard_Engines
F40 (1999),500316,,,,YAMAHA,Outboard_Engines
F40 (2000-2004),500385G,,,,YAMAHA,Outboard_Engines
F40 2.6L (1999),500316,,,,YAMAHA,Outboard_Engines
F50 (1999-2005),500316,,,,YAMAHA,Outboard_Engines
F50 (vecchio),500316,,,,YAMAHA,Outboard_Engines
F60 (2002-2005),500316,,,,YAMAHA,Outboard_Engines
F60 (vecchio),500316,,,,YAMAHA,Outboard_Engines
F75 (2003-2005),500364,,,,YAMAHA,Outboard_Engines
F80 (1999-2003),500364,,,,YAMAHA,Outboard_Engines
F90 (2004-2005),500364,,,,YAMAHA,Outboard_Engines
F70,500371,,,,YAMAHA,Outboard_Engines
F100 (1999-2003),500364,,,,YAMAHA,Outboard_Engines
F115 (2000-2005),500371,,,,YAMAHA,Outboard_Engines
F180 (2003),500364,,,,YAMAHA,Outboard_Engines
F200 (2005),500371,,,,YAMAHA,Outboard_Engines
F225 (2002),500371,,,,YAMAHA,Outboard_Engines
F250 (2005),500371,,,,YAMAHA,Outboard_Engines
L130 (6L6) (1989-1992),500371,,,,YAMAHA,Outboard_Engines
L130 (6N4) (1989-1996),500371,,,,YAMAHA,Outboard_Engines
L130 (2000-2001),500371,,,,YAMAHA,Outboard_Engines
L150 (6R0) (1986-1999),500371,,,,YAMAHA,Outboard_Engines
L150 (6K0) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
L200 (6K1) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
L200 (6R1) (1986-1991),500371,,,,YAMAHA,Outboard_Engines
L200 (1992-1999),500371,,,,YAMAHA,Outboard_Engines
L225 (1994-1999),500371,,,,YAMAHA,Outboard_Engines
