Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
40-48-50 HP (1989-2002),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-50 HP (1995-1995),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-50-55-60 HP (1979-1985),500345,,,,EVINRUDE - JOHNSON,Outboard_Engines
40-60 HP (1975-1988) 2cyl,500303N.WK,,BK0002,White key used with shaft OE 391377/Chiavetta bianca è usata con albero OE 391377,EVINRUDE - JOHNSON,Outboard_Engines
40-60 HP (1989-2005) 2cyl,500303N.BK,,BK0002,Black key used with shaft OE 432960-437376/Chiavetta nera è usata con albero OE 432960-437376,EVINRUDE - JOHNSON,Outboard_Engines
45-55 HP comm (1995-2002),500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
45-55 HP comm. (1986-1994),500346C,,,,EVINRUDE - JOHNSON,Outboard_Engines
48 HP (1987-1988),500346C,,,,EVINRUDE - JOHNSON,Outboard_Engines
48 HP (1989 -1994),500372C,,,,EVINRUDE - JOHNSON,Outboard_Engines
50 HP (1971-1975),500352,,,,EVINRUDE - JOHNSON,Outboard_Engines
50 HP (1986-1988),500346C,,,,EVINRUDE - JOHNSON,Outboard_Engines
50 HP (1989-1994),500372C,,,,EVINRUDE - JOHNSON,Outboard_Engines
55 HP (1968-1969),500307,,,,EVINRUDE - JOHNSON,Outboard_Engines
55 HP (1971-1978),500352,,,,EVINRUDE - JOHNSON,Outboard_Engines
"60-65 HP (comm), 70 (1995-2002)",500373C,,,,EVINRUDE - JOHNSON,Outboard_Engines
60-65-70-75 HP (1970-1978),500307,,,,EVINRUDE - JOHNSON,Outboard_Engines
60-75 HP (1975-1988) 3cyl,500303N.WK,,BK0002,White key used with shaft OE 391377/Chiavetta bianca è usata con albero OE 391377,EVINRUDE - JOHNSON,Outboard_Engines
60-75 HP (1989-2005) 3cyl,500303N.BK,,BK0002,Black key used with shaft OE 432960-437376/Chiavetta nera è usata con albero OE 432960-437376,EVINRUDE - JOHNSON,Outboard_Engines
80 HP JET (1993-1996),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
85 HP (1969-1972),500306,,,,EVINRUDE - JOHNSON,Outboard_Engines
85 HP (1973-1981),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
85 HP (25”“) (1977),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
85 HP TTL (1993-95),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
88 HP (1987-1991),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
88 HP (1987-1996),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
90 HP (1982-1994),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
90 HP (1982-2007),500308CR,,BK0003,“V” Models only/Solo Modelli ”V”,EVINRUDE - JOHNSON,Outboard_Engines
100 HP (1968-1972),500306,,,,EVINRUDE - JOHNSON,Outboard_Engines
100 HP (1979 >),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
100 HP (1979-1997),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
100 HP COMM (1984-1997),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
100C HP (1984 >),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
105 HP JET (1994-2007),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
110 HP (1986 >),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
110 HP (1986-1993),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
112 HP (1994-1996),500308CR,,BK0003,,EVINRUDE - JOHNSON,Outboard_Engines
115 HP (1969-1970),500306,,,,EVINRUDE - JOHNSON,Outboard_Engines
115 HP (1973-1994),500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
115 HP (1979-1997),500308CR,,BK0003,“V” Models only/Solo Modelli ”V”,EVINRUDE - JOHNSON,Outboard_Engines
“115 HP (25”“) (1977)”,500305,,,,EVINRUDE - JOHNSON,Outboard_Engines
