ID,Applications (Motore / Potenza / Specifiche),CEF (Codice CEF),NBR Version,Kit (Codice Kit),Remarks (Compatibilità, anni, note),Company,Tipologia Applicazione,Note Esplicative (fonti, dettagli)
64,"C55, Drive II (1991-1995)",500316,,,,"YAMAHA","Outboard_Engines",""
65,"C60 (1996-2001)",500316,,,,"YAMAHA","Outboard_Engines",""
66,"C70 (2000-2001)",500316,,,,"YAMAHA","Outboard_Engines",""
67,"C75 (1994-1999)",500323,,,,"YAMAHA","Outboard_Engines",""
68,"C80 (1997)",500323,,,,"YAMAHA","Outboard_Engines",""
69,"C85 (1989-1997)",500323,,,,"YAMAHA","Outboard_Engines",""
70,"C90 (1997-2001)",500323,,,,"YAMAHA","Outboard_Engines",""
71,"C115 (1991-1996)",500371,,,,"YAMAHA","Outboard_Engines",""
72,"CV25 (1990)",500326,,,,"YAMAHA","Outboard_Engines",""
73,"CV30 (1989-1990)",500326,,,,"YAMAHA","Outboard_Engines",""
74,"CV40 (1990)",500352,,,,"YAMAHA","Outboard_Engines",""
75,"CV55, Drive I (1989-1990)",500316,,,,"YAMAHA","Outboard_Engines",""
76,"CV55, Drive II (1989-1990)",500316,,,,"YAMAHA","Outboard_Engines",""
77,"CV85 (1989-1991)",500323,,,,"YAMAHA","Outboard_Engines",""
78,"E48 (1995-2000)",500316,,,,"YAMAHA","Outboard_Engines",""
79,"E60 (1995-2000)",500316,,,,"YAMAHA","Outboard_Engines",""
80,"E75 (1995-2000)",500323,,,,"YAMAHA","Outboard_Engines",""
81,"F2.5 HP (2003-2005)",500322,,,,"YAMAHA","Outboard_Engines",""
82,"F4 (2000-2005)",500325,,,,"YAMAHA","Outboard_Engines",""
83,"F6/F8 (2001-2005)",500368,,,,"YAMAHA","Outboard_Engines",""
84,"F9.9 (1985-1998)",500320,,,,"YAMAHA","Outboard_Engines",""
85,"F15 (1998-2005)",500363,,,,"YAMAHA","Outboard_Engines",""
86,"F25 (1998-2005)",500385G,,,,"YAMAHA","Outboard_Engines",""
87,"F30 (2001-2002)",500385G,,,,"YAMAHA","Outboard_Engines",""
88,"F40 (1999)",500316,,,,"YAMAHA","Outboard_Engines",""
89,"F40 (2000-2004)",500385G,,,,"YAMAHA","Outboard_Engines",""
90,"F40 2.6L (1999)",500316,,,,"YAMAHA","Outboard_Engines",""
91,"F50 (1999-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
92,"F50 (vecchio)",500316,,,,"YAMAHA","Outboard_Engines",""
93,"F60 (2002-2005)",500316,,,,"YAMAHA","Outboard_Engines",""
