"2 HP","500324",,,,"YAMAHA","OUTBOARD_ENGINES","1984-2002",
"3 HP MALTA","500322",,,,"YAMAHA","OUTBOARD_ENGINES","1988-2002",
"4 HP","500325",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1999",
"5 HP","500325",,,,"YAMAHA","OUTBOARD_ENGINES","1984-2002",
"6 HP NON DOMESTIC","500321",,,,"YAMAHA","OUTBOARD_ENGINES","ALL /TUTTI",
"6/8 HP","500302",,,"2 STROKES/2 TEMPI","YAMAHA","OUTBOARD_ENGINES","1984-2005",
"8 HP NON DOMESTIC","500321",,,,"YAMAHA","OUTBOARD_ENGINES","ALL/TUTTI",
"9.9 HP","500320",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1995",
"9,9 HP","500363",,,,"YAMAHA","OUTBOARD_ENGINES","1996-2004",
"15 HP","500320",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1995",
"15 HP","500363",,,,"YAMAHA","OUTBOARD_ENGINES","1996-2004",
"20/25 N","500384",,,"2 STROKES/2 TEMPI","YAMAHA","OUTBOARD_ENGINES","1991 >",
"25 HP","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1987",
"25 HP","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1999",
"25 HP MHY","500384",,,,"YAMAHA","OUTBOARD_ENGINES","2000",
"25 HP MHZ3_30MH_EH_ERZ","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","2001",
"25 HP MSH3A_30MSHA3","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","2001",
"25 HP MSHA/B","500384",,,,"YAMAHA","OUTBOARD_ENGINES","2001",
"25 HP 25MSHC/D","500384",,,,"YAMAHA","OUTBOARD_ENGINES","2004-2005",
"30 HP","500326",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1986",
"30 HP","500385G",,"SK0002",,"YAMAHA","OUTBOARD_ENGINES","1987-1995",
"30 HP","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1997-1998",
"40 HP","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1994",
"40 HP","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1995-2005",
"50 HP","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1984-1994",
"50 HP","500316",,,,"YAMAHA","OUTBOARD_ENGINES","1995-2005",
"50 HP JET","500385G",,,,"YAMAHA","OUTBOARD_ENGINES","1986-1989",
"55 HP","500316",,"SK0003",,"YAMAHA","OUTBOARD_ENGINES","1989-1993",
"60 HP","500316",,,,"YAMAHA","OUTBOARD_ENGINES","2001",
"60 HP","500323",,,,"YAMAHA","OUTBOARD_ENGINES","2004-2005",
"70 HP","500316",,"SK0004",,"YAMAHA","OUTBOARD_ENGINES","1984-2003",
"80/100 HP","500364",,,,"YAMAHA","OUTBOARD_ENGINES","1999 >",
"85","500323",,,,"YAMAHA","OUTBOARD_ENGINES","1985",
"85E HP","500323",,"BK0014",,"YAMAHA","OUTBOARD_ENGINES","1989-1990",
"90 HP","500323",,"BK0014",,"YAMAHA","OUTBOARD_ENGINES","1984-2005",
