Applications,Company,Tipologia Applicazione
"5.0GXiCE-J, 5.0GXiCE-JF","VOLVO PENTA","Inboard_Engines"
"5.0GXiCE-M, 5.0GXiCE-MF","VOLVO PENTA","Inboard_Engines"
"5.0GXiE-J, 5.0GXiE-JF","VOLVO PENTA","Inboard_Engines"
"5.0GXiE-K, 5.0GXiE-KF","VOLVO PENTA","Inboard_Engines"
"5.0GXiE-M, 5.0GXiE-MF","VOLVO PENTA","Inboard_Engines"
"5.0GXiE-N","VOLVO PENTA","Inboard_Engines"
"5.0L, FI, GL, FL, GXI, OSI","VOLVO PENTA","Inboard_Engines"
"5.0OSi-B/C/D/E/BF/CF/DF/EF","VOLVO PENTA","Inboard_Engines"
"5.0OSiE-J","VOLVO PENTA","Inboard_Engines"
"5.0OSiE-JF","VOLVO PENTA","Inboard_Engines"
"5.0OSi-F, 5.0OSi-FF","VOLVO PENTA","Inboard_Engines"
"5.0OSi-G, 5.0OSi-GF","VOLVO PENTA","Inboard_Engines"
"5.0OSi-J, 5.0OSi-JF","VOLVO PENTA","Inboard_Engines"
"5,7L, GI, GIL, OSI, GXI, OSXI","VOLVO PENTA","Inboard_Engines"
"5.7Gi-300-N","VOLVO PENTA","Inboard_Engines"
"5.7Gi-A/B/C/D/E/BF/CF/DF/EF","VOLVO PENTA","Inboard_Engines"
"5.7Gi-G, 5.7Gi-GF","VOLVO PENTA","Inboard_Engines"
"5.7Gi-F, 5.7Gi-FF, 5.7GXi-G, 5.7GXi-GF,","VOLVO PENTA","Inboard_Engines"
"5.7GiC-300-J, 5.7GiC-300-JF","VOLVO PENTA","Inboard_Engines"
"5.7GiCE-300-J, 5.7GiCE-300-JF","VOLVO PENTA","Inboard_Engines"
"5.7GiCE-300-M, 5.7GiCE-300-MF","VOLVO PENTA","Inboard_Engines"
"5.7GiE-300-J, 5.7GiE-300-JF,","VOLVO PENTA","Inboard_Engines"
"5.7GiE-300-K, 5.7GiE-300-KF,","VOLVO PENTA","Inboard_Engines"
"5.7GiE-300-M, 5.7GiE-300-MF,","VOLVO PENTA","Inboard_Engines"
